iter	Passed	Remaining
399	48163	12040
400	48260	11914
401	48360	11789
402	48463	11664
403	48568	11541
404	48661	11414
405	48758	11288
406	48857	11163
407	48968	11042
408	49071	10918
409	49169	10793
410	49271	10669
411	49372	10545
412	49472	10421
413	49586	10300
414	49806	10201
415	49907	10077
416	50009	9953
417	50108	9829
418	50202	9704
419	50300	9581
420	50531	9482
421	50677	9366
422	50782	9244
423	50883	9120
424	50983	8997
425	51086	8874
426	51184	8750
427	51278	8626
428	51379	8503
429	51479	8380
430	51583	8258
431	51684	8135
432	51783	8012
433	51889	7891
434	51998	7769
435	52113	7649
436	52213	7527
437	52313	7405
438	52406	7282
439	52526	7162
440	52627	7040
441	52727	6918
442	52822	6796
443	52925	6675
444	53026	6553
445	53131	6432
446	53230	6311
447	53331	6190
448	53434	6069
449	53538	5948
450	53638	5827
451	53742	5707
452	53841	5586
453	53944	5465
454	54045	5345
455	54154	5225
456	54262	5105
457	54370	4985
458	54485	4866
459	54596	4747
460	54705	4628
461	54810	4508
462	54929	4389
463	55031	4269
464	55145	4150
465	55251	4031
466	55350	3911
467	55448	3791
468	55629	3676
469	55842	3564
470	56063	3451
471	56226	3335
472	56332	3215
473	56447	3096
474	56568	2977
475	56690	2858
476	56803	2738
477	56929	2620
478	57039	2500
479	57172	2382
480	57282	2262
481	57400	2143
482	57521	2024
483	57640	1905
484	57756	1786
485	57894	1667
486	58018	1548
487	58132	1429
488	58249	1310
489	58369	1191
490	58483	1072
491	58603	952
492	58710	833
493	58821	714
494	58956	595
495	59059	476
496	59161	357
497	59263	238
498	59355	118
499	59452	0
